,ratio,vsense,Current [mA],Voltage [mV],Power [mW]
111,284.4473,-0.003955471,-0.00038402631067961163,-1.1251230461783,0.0004320768524844588
112,236.6095,-0.004591934,-0.00044581883495145623,-1.086495207773,0.0004843800277096992
113,217.1393,-0.005006127,-0.0004860317475728155,-1.0870269124911,0.0005283295899367313
114,220.1589,-0.004900986,-0.00047582388349514564,-1.0789956866754,0.0005134119179084002
115,250.5572,-0.004291985,-0.00041669757281553394,-1.0753877440419999,0.000448111462777874
116,255.1769,-0.004214456,-0.0004091704854368932,-1.0754318172664,0.0004400349587251731
117,227.903,-0.004740467,-0.00046023951456310673,-1.080366650701,0.0004972274228687977
118,214.9028,-0.005073794,-0.000492601359223301,-1.0903725372232,0.0005371189938959077
119,279.6959,-0.003917542,-0.00038034388349514564,-1.0957204354778,0.00041675056565461865
120,339.1983,-0.00324497,-0.00031504563106796114,-1.100688307551,0.00034676704246153087
121,119.748,-0.009229686,-0.0008960860194174757,-1.105236439128,0.0009903869212533549
122,260.5454,-0.004214608,-0.0004091852427184466,-1.0980967272031998,0.00044932497584897316
123,705.1844,-0.001552998,-0.00015077650485436893,-1.0951499628312,0.00016512288368708037
124,157.9282,-0.006966036,-0.0006763141747572815,-1.1001335266152001,0.0007440358981755769
125,187.1191,-0.005860154,-0.0005689469902912622,-1.0965467423414001,0.0006238769687688277
126,167.2606,-0.006561401,-0.0006370292233009708,-1.0974638681006,0.0006991165554970043
127,206.6351,-0.005308807,-0.0005154181553398057,-1.0969858653256999,0.0005654064311400128
128,184.6479,-0.005939352,-0.0005766361165048543,-1.0966888741608,0.0006323904134101646
129,151.8509,-0.007185118,-0.0006975842718446602,-1.0910666349062,0.0007611109240450452
130,163.6186,-0.00659933,-0.0006407116504854369,-1.0797731355379998,0.0006918232278203872
131,185.2256,-0.005842707,-0.0005672531067961164,-1.0822189096991999,0.0006138920387603768
132,135.2127,-0.008000761,-0.0007767729126213592,-1.0818044968647,0.0008403164299164771
133,213.3968,-0.005039353,-0.0004892575728155339,-1.0753818042704,0.0005261386914073255
134,181.9032,-0.005895808,-0.0005724085436893203,-1.0724663417856,0.0006138888968573081
135,196.5127,-0.005471905,-0.0005312529126213592,-1.0752988256934999,0.000571255633087999
136,201.9287,-0.005332323,-0.0005177012621359223,-1.0767490513701,0.0005574343428979577
137,232.0204,-0.004634415,-0.0004499432038834951,-1.0752788220660001,0.00048381439826844676
138,170.2625,-0.006328208,-0.0006143891262135922,-1.0774565146,0.0006619775665382365
139,191.8971,-0.005606783,-0.0005443478640776698,-1.0759253980293,0.0005856776923241661
140,157.5293,-0.006814772,-0.0006616283495145631,-1.0735262628196,0.000710275409429869
141,236.4649,-0.004518957,-0.0004387336893203883,-1.0685747151093,0.000468819727074386
142,263.4253,-0.004064861,-0.0003946466990291262,-1.0707872283833,0.0004225826450440164
143,147.4772,-0.007324548,-0.0007111211650485436,-1.0802038303056,0.0007681558062968177
144,197.8547,-0.00544672,-0.0005288077669902912,-1.0776591515840002,0.0005698745295257869
145,180.4626,-0.006005805,-0.0005830878640776699,-1.083823185393,0.0006319641462086609
146,322.1922,-0.003377876,-0.0003279491262135922,-1.0883252997672002,0.0003569153310947991
147,237.738,-0.004608471,-0.0004474243689320388,-1.0956086785980002,0.0004902020216181752
148,239.8781,-0.004583286,-0.00044497922330097084,-1.0994299374366,0.0004892234796343731
149,194.3172,-0.005645017,-0.0005480599029126212,-1.0969238973924,0.0006011800047074128
150,1188.928,-0.0009209356,-8.941122330097087e-05,-1.0949261210368002,9.78986839060872e-05
151,209.6591,-0.005280435,-0.0005126635922330097,-1.1070912497085,0.0005675653770052916
152,170.6279,-0.006500561,-0.000631122427184466,-1.1091770722519,0.000700026526016979
153,183.1472,-0.006039031,-0.0005863136893203883,-1.1060316183632,0.0006484814786675275
154,229.0805,-0.004821636,-0.00046811999999999993,-1.104542785698,0.0005170585688409477
155,171.5578,-0.006440176,-0.0006252598058252427,-1.1048624261728,0.0006908260660524114
156,186.0861,-0.006011266,-0.0005836180582524271,-1.1186130460026,0.0006528427738438703
157,244.4256,-0.004544293,-0.000441193495145631,-1.1107415431007999,0.0004900519436040934
158,220.8548,-0.004957121,-0.0004812738834951456,-1.0948039670308,0.0005269005568788045
159,239.4627,-0.004545204,-0.00044128194174757274,-1.0884068218908,0.00048029427577527683
160,239.2711,-0.004557796,-0.0004425044660194175,-1.0905488624956,0.0004825727420666986
161,226.8983,-0.004812836,-0.00046726563106796115,-1.0920243065788,0.0005102654267550957
162,211.9853,-0.005154963,-0.0005004818446601942,-1.0927763780439,0.0005469147374844968
163,570.685,-0.001918641,-0.00018627582524271844,-1.094939639085,0.00020396078486152264
164,235.231,-0.004691613,-0.00045549640776699026,-1.103612817603,0.0005026916739837732
165,146.5872,-0.007507976,-0.0007289297087378641,-1.1005731795072,0.0008022404871828883
166,152.4864,-0.007178442,-0.0006969361165048544,-1.0946147781888,0.0007628765725797248
167,144.385,-0.007549699,-0.0007329804854368932,-1.090063290115,0.0007989951195454297
168,178.4265,-0.00608925,-0.0005911893203883495,-1.086483565125,0.0006423174804793599
169,179.0984,-0.006073926,-0.0005897015533980583,-1.0878304283184002,0.0006414952934130357
170,174.1897,-0.006228832,-0.0006047409708737864,-1.0849983774304,0.000656142972163743
171,294.7231,-0.003679191,-0.00035720300970873783,-1.0843425770121,0.00038733043206405095
172,177.7349,-0.006114891,-0.0005936787378640776,-1.0868295403959,0.0006452275898156335
173,184.5447,-0.005879877,-0.0005708618446601942,-1.0851001370019,0.0006194422658499341
174,185.9871,-0.005831631,-0.0005661777669902912,-1.0846081379601,0.0006140810136097472
175,176.5722,-0.00615191,-0.0005972728155339806,-1.0862562829020002,0.0006487913484803537
176,203.9165,-0.005321247,-0.0005166259223300971,-1.0850900638755,0.0005605856550609042
177,218.9052,-0.005023423,-0.00048771097087378635,-1.0996534164996001,0.0005363130353856962
178,191.9837,-0.005751068,-0.0005583561165048544,-1.1041113135915999,0.0006164873052460792
179,172.2191,-0.006356579,-0.0006171435922330097,-1.0947243144589,0.0006756020959299845
180,190.7557,-0.005689773,-0.0005524051456310679,-1.0853566314561,0.0005995565880611523
181,184.1852,-0.005871533,-0.0005700517475728155,-1.0814494799116001,0.0006164821659353201
182,211.1264,-0.005204727,-0.0005053133009708737,-1.0988552744928,0.0005552661860432123
183,218.8362,-0.005027671,-0.0004881233980582524,-1.1002364164901999,0.000537051138284631
